Orthogroup	CRCR_fixednames	CRFI_fixednames	Total
OG0000000	14	24	38
OG0000001	10	24	34
OG0000002	23	5	28
OG0000003	24	3	27
OG0000004	1	23	24
OG0000005	4	20	24
OG0000006	22	1	23
OG0000007	5	17	22
OG0000008	17	5	22
OG0000009	1	19	20
OG0000010	0	20	20
OG0000011	17	2	19
OG0000012	18	1	19
OG0000013	1	17	18
OG0000014	17	1	18
OG0000015	16	2	18
OG0000016	0	18	18
OG0000017	17	0	17
OG0000018	13	4	17
OG0000019	17	0	17
OG0000020	16	0	16
OG0000021	15	1	16
OG0000022	13	2	15
OG0000023	4	11	15
OG0000024	14	1	15
OG0000025	14	1	15
OG0000026	3	12	15
OG0000027	14	1	15
OG0000028	11	3	14
OG0000029	8	6	14
OG0000030	10	4	14
OG0000031	6	8	14
OG0000032	4	10	14
OG0000033	1	13	14
OG0000034	1	13	14
OG0000035	0	14	14
OG0000036	11	2	13
OG0000037	3	10	13
OG0000038	5	8	13
OG0000039	11	2	13
OG0000040	2	11	13
OG0000041	13	0	13
OG0000042	11	2	13
OG0000043	13	0	13
OG0000044	4	9	13
OG0000045	6	7	13
OG0000046	11	2	13
OG0000047	13	0	13
OG0000048	4	9	13
OG0000049	12	1	13
OG0000050	1	12	13
OG0000051	4	9	13
OG0000052	12	1	13
OG0000053	11	1	12
OG0000054	12	0	12
OG0000055	12	0	12
OG0000056	9	3	12
OG0000057	2	10	12
OG0000058	2	10	12
OG0000059	4	8	12
OG0000060	10	2	12
OG0000061	1	11	12
OG0000062	1	11	12
OG0000063	3	9	12
OG0000064	10	2	12
OG0000065	2	10	12
OG0000066	10	2	12
OG0000067	9	2	11
OG0000068	7	4	11
OG0000069	10	1	11
OG0000070	10	1	11
OG0000071	11	0	11
OG0000072	1	10	11
OG0000073	3	8	11
OG0000074	4	7	11
OG0000075	9	2	11
OG0000076	10	1	11
OG0000077	7	4	11
OG0000078	10	1	11
OG0000079	3	8	11
OG0000080	10	1	11
OG0000081	11	0	11
OG0000082	11	0	11
OG0000083	4	7	11
OG0000084	8	3	11
OG0000085	1	10	11
OG0000086	3	8	11
OG0000087	9	2	11
OG0000088	2	9	11
OG0000089	2	9	11
OG0000090	11	0	11
OG0000091	9	2	11
OG0000092	2	9	11
OG0000093	1	10	11
OG0000094	0	11	11
OG0000095	6	4	10
OG0000096	8	2	10
OG0000097	9	1	10
OG0000098	10	0	10
OG0000099	9	1	10
OG0000100	4	6	10
OG0000101	9	1	10
OG0000102	9	1	10
OG0000103	7	3	10
OG0000104	2	8	10
OG0000105	8	2	10
OG0000106	1	9	10
OG0000107	4	6	10
OG0000108	1	9	10
OG0000109	9	1	10
OG0000110	4	6	10
OG0000111	6	4	10
OG0000112	6	4	10
OG0000113	6	4	10
OG0000114	7	3	10
OG0000115	1	9	10
OG0000116	3	7	10
OG0000117	10	0	10
OG0000118	2	8	10
OG0000119	2	8	10
OG0000120	9	1	10
OG0000121	4	6	10
OG0000122	4	6	10
OG0000123	6	4	10
OG0000124	8	2	10
OG0000125	1	9	10
OG0000126	4	6	10
OG0000127	10	0	10
OG0000128	8	2	10
OG0000129	6	4	10
OG0000130	8	2	10
OG0000131	1	9	10
OG0000132	5	5	10
OG0000133	8	2	10
OG0000134	7	3	10
OG0000135	8	2	10
OG0000136	6	4	10
OG0000137	3	7	10
OG0000138	4	6	10
OG0000139	5	5	10
OG0000140	1	9	10
OG0000141	0	10	10
OG0000142	0	10	10
OG0000143	0	10	10
OG0000144	7	2	9
OG0000145	8	1	9
OG0000146	8	1	9
OG0000147	1	8	9
OG0000148	8	1	9
OG0000149	8	1	9
OG0000150	8	1	9
OG0000151	8	1	9
OG0000152	7	2	9
OG0000153	4	5	9
OG0000154	3	6	9
OG0000155	8	1	9
OG0000156	9	0	9
OG0000157	3	6	9
OG0000158	8	1	9
OG0000159	3	6	9
OG0000160	1	8	9
OG0000161	7	2	9
OG0000162	9	0	9
OG0000163	3	6	9
OG0000164	6	3	9
OG0000165	4	5	9
OG0000166	5	4	9
OG0000167	4	5	9
OG0000168	2	7	9
OG0000169	6	3	9
OG0000170	7	2	9
OG0000171	5	4	9
OG0000172	4	5	9
OG0000173	3	6	9
OG0000174	5	4	9
OG0000175	8	1	9
OG0000176	9	0	9
OG0000177	5	4	9
OG0000178	7	2	9
OG0000179	8	1	9
OG0000180	9	0	9
OG0000181	1	8	9
OG0000182	3	6	9
OG0000183	5	4	9
OG0000184	8	1	9
OG0000185	6	3	9
OG0000186	6	3	9
OG0000187	8	1	9
OG0000188	7	2	9
OG0000189	7	2	9
OG0000190	5	4	9
OG0000191	8	1	9
OG0000192	8	1	9
OG0000193	3	6	9
OG0000194	3	6	9
OG0000195	9	0	9
OG0000196	8	1	9
OG0000197	8	1	9
OG0000198	6	3	9
OG0000199	4	5	9
OG0000200	6	3	9
OG0000201	7	2	9
OG0000202	9	0	9
OG0000203	6	3	9
OG0000204	7	2	9
OG0000205	8	1	9
OG0000206	8	1	9
OG0000207	4	5	9
OG0000208	6	3	9
OG0000209	2	7	9
OG0000210	9	0	9
OG0000211	9	0	9
OG0000212	8	1	9
OG0000213	2	7	9
OG0000214	8	1	9
OG0000215	2	7	9
OG0000216	4	5	9
OG0000217	1	8	9
OG0000218	3	6	9
OG0000219	1	8	9
OG0000220	5	4	9
OG0000221	1	8	9
OG0000222	1	8	9
OG0000223	5	4	9
OG0000224	8	1	9
OG0000225	2	7	9
OG0000226	6	3	9
OG0000227	2	7	9
OG0000228	1	8	9
OG0000229	2	7	9
OG0000230	0	9	9
OG0000231	0	9	9
OG0000232	6	2	8
OG0000233	7	1	8
OG0000234	4	4	8
OG0000235	6	2	8
OG0000236	6	2	8
OG0000237	8	0	8
OG0000238	5	3	8
OG0000239	5	3	8
OG0000240	1	7	8
OG0000241	3	5	8
OG0000242	6	2	8
OG0000243	7	1	8
OG0000244	3	5	8
OG0000245	1	7	8
OG0000246	6	2	8
OG0000247	3	5	8
OG0000248	7	1	8
OG0000249	6	2	8
OG0000250	4	4	8
OG0000251	7	1	8
OG0000252	6	2	8
OG0000253	7	1	8
OG0000254	1	7	8
OG0000255	6	2	8
OG0000256	4	4	8
OG0000257	4	4	8
OG0000258	6	2	8
OG0000259	6	2	8
OG0000260	2	6	8
OG0000261	7	1	8
OG0000262	7	1	8
OG0000263	4	4	8
OG0000264	6	2	8
OG0000265	4	4	8
OG0000266	1	7	8
OG0000267	4	4	8
OG0000268	7	1	8
OG0000269	8	0	8
OG0000270	8	0	8
OG0000271	2	6	8
OG0000272	4	4	8
OG0000273	8	0	8
OG0000274	2	6	8
OG0000275	4	4	8
OG0000276	4	4	8
OG0000277	1	7	8
OG0000278	7	1	8
OG0000279	6	2	8
OG0000280	7	1	8
OG0000281	2	6	8
OG0000282	4	4	8
OG0000283	6	2	8
OG0000284	2	6	8
OG0000285	3	5	8
OG0000286	1	7	8
OG0000287	6	2	8
OG0000288	3	5	8
OG0000289	8	0	8
OG0000290	3	5	8
OG0000291	6	2	8
OG0000292	4	4	8
OG0000293	5	3	8
OG0000294	1	7	8
OG0000295	4	4	8
OG0000296	4	4	8
OG0000297	4	4	8
OG0000298	7	1	8
OG0000299	2	6	8
OG0000300	6	2	8
OG0000301	6	2	8
OG0000302	8	0	8
OG0000303	4	4	8
OG0000304	1	7	8
OG0000305	4	4	8
OG0000306	4	4	8
OG0000307	4	4	8
OG0000308	4	4	8
OG0000309	2	6	8
OG0000310	6	2	8
OG0000311	1	7	8
OG0000312	6	2	8
OG0000313	2	6	8
OG0000314	3	5	8
OG0000315	4	4	8
OG0000316	6	2	8
OG0000317	7	1	8
OG0000318	6	2	8
OG0000319	6	2	8
OG0000320	6	2	8
OG0000321	4	4	8
OG0000322	7	1	8
OG0000323	5	3	8
OG0000324	7	1	8
OG0000325	8	0	8
OG0000326	1	7	8
OG0000327	1	7	8
OG0000328	7	1	8
OG0000329	2	6	8
OG0000330	2	6	8
OG0000331	7	1	8
OG0000332	4	4	8
OG0000333	6	2	8
OG0000334	5	3	8
OG0000335	6	2	8
OG0000336	5	3	8
OG0000337	1	7	8
OG0000338	7	1	8
OG0000339	3	5	8
OG0000340	7	1	8
OG0000341	6	2	8
OG0000342	3	5	8
OG0000343	4	4	8
OG0000344	5	3	8
OG0000345	1	7	8
OG0000346	7	1	8
OG0000347	1	7	8
OG0000348	7	1	8
OG0000349	1	7	8
OG0000350	1	7	8
OG0000351	1	7	8
OG0000352	3	5	8
OG0000353	7	1	8
OG0000354	2	6	8
OG0000355	1	7	8
OG0000356	1	7	8
OG0000357	2	6	8
OG0000358	0	8	8
OG0000359	0	8	8
OG0000360	0	8	8
OG0000361	0	8	8
OG0000362	0	8	8
OG0000363	0	8	8
OG0000364	0	8	8
OG0000365	0	8	8
OG0000366	0	8	8
OG0000367	0	8	8
OG0000368	0	8	8
OG0000369	0	8	8
OG0000370	0	8	8
OG0000371	0	8	8
OG0000372	4	3	7
OG0000373	6	1	7
OG0000374	6	1	7
OG0000375	4	3	7
OG0000376	6	1	7
OG0000377	6	1	7
OG0000378	7	0	7
OG0000379	7	0	7
OG0000380	5	2	7
OG0000381	6	1	7
OG0000382	5	2	7
OG0000383	6	1	7
OG0000384	5	2	7
OG0000385	5	2	7
OG0000386	2	5	7
OG0000387	1	6	7
OG0000388	4	3	7
OG0000389	4	3	7
OG0000390	3	4	7
OG0000391	4	3	7
OG0000392	1	6	7
OG0000393	3	4	7
OG0000394	7	0	7
OG0000395	6	1	7
OG0000396	4	3	7
OG0000397	1	6	7
OG0000398	1	6	7
OG0000399	5	2	7
OG0000400	5	2	7
OG0000401	7	0	7
OG0000402	1	6	7
OG0000403	1	6	7
OG0000404	6	1	7
OG0000405	6	1	7
OG0000406	6	1	7
OG0000407	6	1	7
OG0000408	6	1	7
OG0000409	5	2	7
OG0000410	6	1	7
OG0000411	6	1	7
OG0000412	7	0	7
OG0000413	1	6	7
OG0000414	5	2	7
OG0000415	5	2	7
OG0000416	7	0	7
OG0000417	5	2	7
OG0000418	4	3	7
OG0000419	1	6	7
OG0000420	2	5	7
OG0000421	1	6	7
OG0000422	4	3	7
OG0000423	6	1	7
OG0000424	2	5	7
OG0000425	2	5	7
OG0000426	4	3	7
OG0000427	1	6	7
OG0000428	4	3	7
OG0000429	7	0	7
OG0000430	5	2	7
OG0000431	5	2	7
OG0000432	3	4	7
OG0000433	1	6	7
OG0000434	6	1	7
OG0000435	3	4	7
OG0000436	5	2	7
OG0000437	7	0	7
OG0000438	6	1	7
OG0000439	4	3	7
OG0000440	7	0	7
OG0000441	6	1	7
OG0000442	3	4	7
OG0000443	7	0	7
OG0000444	2	5	7
OG0000445	6	1	7
OG0000446	4	3	7
OG0000447	6	1	7
OG0000448	7	0	7
OG0000449	6	1	7
OG0000450	1	6	7
OG0000451	3	4	7
OG0000452	6	1	7
OG0000453	3	4	7
OG0000454	1	6	7
OG0000455	1	6	7
OG0000456	1	6	7
OG0000457	5	2	7
OG0000458	6	1	7
OG0000459	5	2	7
OG0000460	3	4	7
OG0000461	5	2	7
OG0000462	7	0	7
OG0000463	3	4	7
OG0000464	6	1	7
OG0000465	3	4	7
OG0000466	6	1	7
OG0000467	1	6	7
OG0000468	6	1	7
OG0000469	2	5	7
OG0000470	2	5	7
OG0000471	3	4	7
OG0000472	7	0	7
OG0000473	5	2	7
OG0000474	3	4	7
OG0000475	2	5	7
OG0000476	3	4	7
OG0000477	3	4	7
OG0000478	2	5	7
OG0000479	4	3	7
OG0000480	1	6	7
OG0000481	6	1	7
OG0000482	4	3	7
OG0000483	2	5	7
OG0000484	5	2	7
OG0000485	5	2	7
OG0000486	3	4	7
OG0000487	6	1	7
OG0000488	1	6	7
OG0000489	6	1	7
OG0000490	2	5	7
OG0000491	1	6	7
OG0000492	6	1	7
OG0000493	4	3	7
OG0000494	6	1	7
OG0000495	4	3	7
OG0000496	4	3	7
OG0000497	5	2	7
OG0000498	4	3	7
OG0000499	5	2	7
OG0000500	2	5	7
OG0000501	5	2	7
OG0000502	6	1	7
OG0000503	2	5	7
OG0000504	2	5	7
OG0000505	6	1	7
OG0000506	6	1	7
OG0000507	3	4	7
OG0000508	1	6	7
OG0000509	6	1	7
OG0000510	3	4	7
OG0000511	6	1	7
OG0000512	4	3	7
OG0000513	1	6	7
OG0000514	3	4	7
OG0000515	5	2	7
OG0000516	5	2	7
OG0000517	1	6	7
OG0000518	7	0	7
OG0000519	4	3	7
OG0000520	6	1	7
OG0000521	6	1	7
OG0000522	3	4	7
OG0000523	1	6	7
OG0000524	2	5	7
OG0000525	5	2	7
OG0000526	2	5	7
OG0000527	5	2	7
OG0000528	6	1	7
OG0000529	1	6	7
OG0000530	5	2	7
OG0000531	4	3	7
OG0000532	6	1	7
OG0000533	7	0	7
OG0000534	1	6	7
OG0000535	3	4	7
OG0000536	5	2	7
OG0000537	7	0	7
OG0000538	1	6	7
OG0000539	3	4	7
OG0000540	6	1	7
OG0000541	5	2	7
OG0000542	3	4	7
OG0000543	6	1	7
OG0000544	3	4	7
OG0000545	3	4	7
OG0000546	7	0	7
OG0000547	4	3	7
OG0000548	6	1	7
OG0000549	2	5	7
OG0000550	4	3	7
OG0000551	6	1	7
OG0000552	5	2	7
OG0000553	5	2	7
OG0000554	6	1	7
OG0000555	2	5	7
OG0000556	6	1	7
OG0000557	5	2	7
OG0000558	7	0	7
OG0000559	2	5	7
OG0000560	2	5	7
OG0000561	3	4	7
OG0000562	3	4	7
OG0000563	5	2	7
OG0000564	1	6	7
OG0000565	3	4	7
OG0000566	2	5	7
OG0000567	6	1	7
OG0000568	5	2	7
OG0000569	3	4	7
OG0000570	2	5	7
OG0000571	6	1	7
OG0000572	5	2	7
OG0000573	5	2	7
OG0000574	7	0	7
OG0000575	6	1	7
OG0000576	5	2	7
OG0000577	6	1	7
OG0000578	4	3	7
OG0000579	1	6	7
OG0000580	3	4	7
OG0000581	2	5	7
OG0000582	2	5	7
OG0000583	6	1	7
OG0000584	4	3	7
OG0000585	2	5	7
OG0000586	7	0	7
OG0000587	4	3	7
OG0000588	2	5	7
OG0000589	7	0	7
OG0000590	6	1	7
OG0000591	3	4	7
OG0000592	3	4	7
OG0000593	6	1	7
OG0000594	3	4	7
OG0000595	3	4	7
OG0000596	2	5	7
OG0000597	7	0	7
OG0000598	5	2	7
OG0000599	4	3	7
OG0000600	2	5	7
OG0000601	5	2	7
OG0000602	6	1	7
OG0000603	1	6	7
OG0000604	7	0	7
OG0000605	6	1	7
OG0000606	3	4	7
OG0000607	6	1	7
OG0000608	4	3	7
OG0000609	2	5	7
OG0000610	1	6	7
OG0000611	1	6	7
OG0000612	1	6	7
OG0000613	0	7	7
OG0000614	0	7	7
OG0000615	0	7	7
OG0000616	0	7	7
OG0000617	0	7	7
OG0000618	0	7	7
OG0000619	0	7	7
OG0000620	0	7	7
OG0000621	0	7	7
OG0000622	0	7	7
OG0000623	0	7	7
OG0000624	0	7	7
OG0000625	0	7	7
OG0000626	0	7	7
OG0000627	0	7	7
OG0000628	0	7	7
OG0000629	0	7	7
OG0000630	5	1	6
OG0000631	5	1	6
OG0000632	3	3	6
OG0000633	4	2	6
OG0000634	4	2	6
OG0000635	4	2	6
OG0000636	6	0	6
OG0000637	3	3	6
OG0000638	2	4	6
OG0000639	5	1	6
OG0000640	4	2	6
OG0000641	6	0	6
OG0000642	4	2	6
OG0000643	5	1	6
OG0000644	1	5	6
OG0000645	1	5	6
OG0000646	4	2	6
OG0000647	6	0	6
OG0000648	6	0	6
OG0000649	4	2	6
OG0000650	4	2	6
OG0000651	3	3	6
OG0000652	5	1	6
OG0000653	4	2	6
OG0000654	5	1	6
OG0000655	5	1	6
OG0000656	2	4	6
OG0000657	4	2	6
OG0000658	3	3	6
OG0000659	5	1	6
OG0000660	3	3	6
OG0000661	1	5	6
OG0000662	2	4	6
OG0000663	4	2	6
OG0000664	6	0	6
OG0000665	4	2	6
OG0000666	2	4	6
OG0000667	1	5	6
OG0000668	5	1	6
OG0000669	5	1	6
OG0000670	4	2	6
OG0000671	6	0	6
OG0000672	4	2	6
OG0000673	5	1	6
OG0000674	2	4	6
OG0000675	2	4	6
OG0000676	6	0	6
OG0000677	6	0	6
OG0000678	6	0	6
OG0000679	1	5	6
OG0000680	3	3	6
OG0000681	5	1	6
OG0000682	6	0	6
OG0000683	1	5	6
OG0000684	3	3	6
OG0000685	4	2	6
OG0000686	2	4	6
OG0000687	6	0	6
OG0000688	4	2	6
OG0000689	4	2	6
OG0000690	4	2	6
OG0000691	2	4	6
OG0000692	1	5	6
OG0000693	2	4	6
OG0000694	5	1	6
OG0000695	4	2	6
OG0000696	2	4	6
OG0000697	4	2	6
OG0000698	2	4	6
OG0000699	1	5	6
OG0000700	2	4	6
OG0000701	4	2	6
OG0000702	5	1	6
OG0000703	1	5	6
OG0000704	6	0	6
OG0000705	3	3	6
OG0000706	3	3	6
OG0000707	4	2	6
OG0000708	4	2	6
OG0000709	6	0	6
OG0000710	2	4	6
OG0000711	4	2	6
OG0000712	1	5	6
OG0000713	4	2	6
OG0000714	4	2	6
OG0000715	2	4	6
OG0000716	5	1	6
OG0000717	1	5	6
OG0000718	3	3	6
OG0000719	5	1	6
OG0000720	3	3	6
OG0000721	4	2	6
OG0000722	3	3	6
OG0000723	1	5	6
OG0000724	2	4	6
OG0000725	2	4	6
OG0000726	6	0	6
OG0000727	1	5	6
OG0000728	3	3	6
OG0000729	4	2	6
OG0000730	4	2	6
OG0000731	5	1	6
OG0000732	2	4	6
OG0000733	2	4	6
OG0000734	5	1	6
OG0000735	4	2	6
OG0000736	2	4	6
OG0000737	3	3	6
OG0000738	4	2	6
OG0000739	4	2	6
OG0000740	1	5	6
OG0000741	4	2	6
OG0000742	4	2	6
OG0000743	3	3	6
OG0000744	4	2	6
OG0000745	4	2	6
OG0000746	5	1	6
OG0000747	4	2	6
OG0000748	3	3	6
OG0000749	4	2	6
OG0000750	5	1	6
OG0000751	3	3	6
OG0000752	6	0	6
OG0000753	5	1	6
OG0000754	5	1	6
OG0000755	5	1	6
OG0000756	4	2	6
OG0000757	2	4	6
OG0000758	4	2	6
OG0000759	2	4	6
OG0000760	4	2	6
OG0000761	1	5	6
OG0000762	2	4	6
OG0000763	4	2	6
OG0000764	3	3	6
OG0000765	5	1	6
OG0000766	4	2	6
OG0000767	4	2	6
OG0000768	4	2	6
OG0000769	2	4	6
OG0000770	4	2	6
OG0000771	5	1	6
OG0000772	4	2	6
OG0000773	5	1	6
OG0000774	4	2	6
OG0000775	2	4	6
OG0000776	2	4	6
OG0000777	2	4	6
OG0000778	1	5	6
OG0000779	6	0	6
OG0000780	4	2	6
OG0000781	6	0	6
OG0000782	5	1	6
OG0000783	5	1	6
OG0000784	3	3	6
OG0000785	5	1	6
OG0000786	1	5	6
OG0000787	1	5	6
OG0000788	3	3	6
OG0000789	6	0	6
OG0000790	1	5	6
OG0000791	2	4	6
OG0000792	4	2	6
OG0000793	5	1	6
OG0000794	4	2	6
OG0000795	2	4	6
OG0000796	2	4	6
OG0000797	3	3	6
OG0000798	4	2	6
OG0000799	1	5	6
OG0000800	1	5	6
OG0000801	4	2	6
OG0000802	4	2	6
OG0000803	5	1	6
OG0000804	4	2	6
OG0000805	3	3	6
OG0000806	2	4	6
OG0000807	5	1	6
OG0000808	2	4	6
OG0000809	2	4	6
OG0000810	1	5	6
OG0000811	6	0	6
OG0000812	3	3	6
OG0000813	4	2	6
OG0000814	3	3	6
OG0000815	3	3	6
OG0000816	3	3	6
OG0000817	5	1	6
OG0000818	3	3	6
OG0000819	5	1	6
OG0000820	6	0	6
OG0000821	3	3	6
OG0000822	3	3	6
OG0000823	4	2	6
OG0000824	4	2	6
OG0000825	2	4	6
OG0000826	3	3	6
OG0000827	3	3	6
OG0000828	4	2	6
OG0000829	5	1	6
OG0000830	3	3	6
OG0000831	2	4	6
OG0000832	2	4	6
OG0000833	1	5	6
OG0000834	1	5	6
OG0000835	2	4	6
OG0000836	2	4	6
OG0000837	3	3	6
OG0000838	5	1	6
OG0000839	4	2	6
OG0000840	2	4	6
OG0000841	6	0	6
OG0000842	5	1	6
OG0000843	6	0	6
OG0000844	2	4	6
OG0000845	4	2	6
OG0000846	3	3	6
OG0000847	4	2	6
OG0000848	4	2	6
OG0000849	1	5	6
OG0000850	5	1	6
OG0000851	1	5	6
OG0000852	4	2	6
OG0000853	1	5	6
OG0000854	5	1	6
OG0000855	6	0	6
OG0000856	4	2	6
OG0000857	4	2	6
OG0000858	3	3	6
OG0000859	2	4	6
OG0000860	1	5	6
OG0000861	2	4	6
OG0000862	3	3	6
OG0000863	3	3	6
OG0000864	1	5	6
OG0000865	4	2	6
OG0000866	2	4	6
OG0000867	4	2	6
OG0000868	2	4	6
OG0000869	3	3	6
OG0000870	4	2	6
OG0000871	2	4	6
OG0000872	4	2	6
OG0000873	4	2	6
OG0000874	1	5	6
OG0000875	4	2	6
OG0000876	1	5	6
OG0000877	3	3	6
OG0000878	5	1	6
OG0000879	2	4	6
OG0000880	5	1	6
OG0000881	1	5	6
OG0000882	5	1	6
OG0000883	3	3	6
OG0000884	4	2	6
OG0000885	2	4	6
OG0000886	5	1	6
OG0000887	2	4	6
OG0000888	4	2	6
OG0000889	5	1	6
OG0000890	5	1	6
OG0000891	5	1	6
OG0000892	1	5	6
OG0000893	2	4	6
OG0000894	2	4	6
OG0000895	5	1	6
OG0000896	6	0	6
OG0000897	6	0	6
OG0000898	3	3	6
OG0000899	5	1	6
OG0000900	1	5	6
OG0000901	4	2	6
OG0000902	2	4	6
OG0000903	4	2	6
OG0000904	1	5	6
OG0000905	2	4	6
OG0000906	2	4	6
OG0000907	3	3	6
OG0000908	2	4	6
OG0000909	5	1	6
OG0000910	4	2	6
OG0000911	4	2	6
OG0000912	1	5	6
OG0000913	2	4	6
OG0000914	1	5	6
OG0000915	6	0	6
OG0000916	4	2	6
OG0000917	2	4	6
OG0000918	2	4	6
OG0000919	2	4	6
OG0000920	2	4	6
OG0000921	1	5	6
OG0000922	2	4	6
OG0000923	4	2	6
OG0000924	1	5	6
OG0000925	3	3	6
OG0000926	1	5	6
OG0000927	3	3	6
OG0000928	5	1	6
OG0000929	3	3	6
OG0000930	2	4	6
OG0000931	1	5	6
OG0000932	2	4	6
OG0000933	3	3	6
OG0000934	6	0	6
OG0000935	5	1	6
OG0000936	5	1	6
OG0000937	6	0	6
OG0000938	2	4	6
OG0000939	3	3	6
OG0000940	2	4	6
OG0000941	2	4	6
OG0000942	4	2	6
OG0000943	3	3	6
OG0000944	3	3	6
OG0000945	5	1	6
OG0000946	2	4	6
OG0000947	2	4	6
OG0000948	3	3	6
OG0000949	2	4	6
OG0000950	5	1	6
OG0000951	2	4	6
OG0000952	4	2	6
OG0000953	2	4	6
OG0000954	5	1	6
OG0000955	4	2	6
OG0000956	5	1	6
OG0000957	4	2	6
OG0000958	2	4	6
OG0000959	5	1	6
OG0000960	3	3	6
OG0000961	5	1	6
OG0000962	2	4	6
OG0000963	1	5	6
OG0000964	1	5	6
OG0000965	5	1	6
OG0000966	2	4	6
OG0000967	3	3	6
OG0000968	3	3	6
OG0000969	1	5	6
OG0000970	3	3	6
OG0000971	3	3	6
OG0000972	4	2	6
OG0000973	2	4	6
OG0000974	3	3	6
OG0000975	3	3	6
OG0000976	2	4	6
OG0000977	5	1	6
OG0000978	2	4	6
OG0000979	3	3	6
OG0000980	4	2	6
OG0000981	5	1	6
OG0000982	4	2	6
OG0000983	3	3	6
OG0000984	1	5	6
OG0000985	1	5	6
OG0000986	5	1	6
OG0000987	1	5	6
OG0000988	2	4	6
OG0000989	6	0	6
OG0000990	2	4	6
OG0000991	1	5	6
OG0000992	5	1	6
OG0000993	5	1	6
OG0000994	3	3	6
OG0000995	5	1	6
OG0000996	4	2	6
OG0000997	4	2	6
OG0000998	1	5	6
OG0000999	3	3	6
OG0001000	3	3	6
OG0001001	2	4	6
OG0001002	3	3	6
OG0001003	4	2	6
OG0001004	2	4	6
OG0001005	2	4	6
OG0001006	5	1	6
OG0001007	4	2	6
OG0001008	5	1	6
OG0001009	5	1	6
OG0001010	3	3	6
OG0001011	4	2	6
OG0001012	2	4	6
OG0001013	3	3	6
OG0001014	6	0	6
OG0001015	1	5	6
OG0001016	4	2	6
OG0001017	4	2	6
OG0001018	2	4	6
OG0001019	1	5	6
OG0001020	3	3	6
OG0001021	2	4	6
OG0001022	5	1	6
OG0001023	2	4	6
OG0001024	3	3	6
OG0001025	4	2	6
